temp_celcius,Ms_T
31.6302, 0.9208
32.2257, 0.9208
32.8213, 0.9208
33.4168, 0.9208
34.0123, 0.9208
34.6078, 0.9208
35.2033, 0.9208
35.7988, 0.9208
36.3943, 0.9208
36.9898, 0.9208
37.5853, 0.9208
38.1809, 0.9208
38.7764, 0.9208
39.3719, 0.9208
39.9679, 0.9185
40.5634, 0.9185
41.1589, 0.9185
41.7544, 0.9185
42.3499, 0.9185
42.9455, 0.9185
43.541, 0.9185
44.1365, 0.9185
44.732, 0.9185
45.3275, 0.9185
45.923, 0.9185
46.5185, 0.9185
47.114, 0.9185
47.7095, 0.9185
48.3051, 0.9185
48.9006, 0.9185
49.4961, 0.9185
50.0916, 0.9185
50.6871, 0.9185
51.2826, 0.9185
51.8786, 0.9162
52.4742, 0.9162
53.0697, 0.9162
53.6652, 0.9162
54.2607, 0.9162
54.8562, 0.9162
55.4517, 0.9162
56.0472, 0.9162
56.6427, 0.9162
57.2382, 0.9162
57.8338, 0.9162
58.4293, 0.9162
59.0248, 0.9162
59.6203, 0.9162
60.2158, 0.9162
60.8113, 0.9161
61.4068, 0.9161
62.0023, 0.9161
62.5978, 0.9161
63.1934, 0.9161
63.7894, 0.9138
64.3849, 0.9138
64.9804, 0.9138
65.5759, 0.9138
66.1714, 0.9138
66.7669, 0.9138
67.3624, 0.9138
67.958, 0.9138
68.5535, 0.9138
69.149, 0.9138
69.7445, 0.9138
70.34, 0.9138
70.9355, 0.9138
71.531, 0.9138
72.1265, 0.9138
72.722, 0.9138
73.3176, 0.9138
73.9131, 0.9138
74.5086, 0.9138
75.1041, 0.9138
75.6996, 0.9138
76.2951, 0.9138
76.8911, 0.9115
77.4867, 0.9115
78.0822, 0.9115
78.6777, 0.9115
79.2732, 0.9115
79.8687, 0.9115
80.4642, 0.9115
81.0597, 0.9115
81.6552, 0.9115
82.2507, 0.9115
82.8463, 0.9115
83.4418, 0.9115
84.0373, 0.9115
84.6328, 0.9115
85.2283, 0.9115
85.8238, 0.9115
86.4193, 0.9115
87.0148, 0.9115
87.6103, 0.9115
88.2059, 0.9115
88.8014, 0.9115
89.3974, 0.9092
89.9929, 0.9092
90.5884, 0.9092
91.1839, 0.9092
91.7794, 0.9092
92.3749, 0.9092
92.9705, 0.9092
93.566, 0.9092
94.1615, 0.9092
94.757, 0.9091
95.3525, 0.9091
95.948, 0.9091
96.5435, 0.9091
97.139, 0.9091
97.7345, 0.9091
98.3301, 0.9091
98.9256, 0.9091
99.5211, 0.9091
100.1166, 0.9091
100.7121, 0.9091
101.3076, 0.9091
101.9031, 0.9091
102.4992, 0.9068
103.0947, 0.9068
103.6902, 0.9068
104.2857, 0.9068
104.8812, 0.9068
105.4767, 0.9068
106.0722, 0.9068
106.6677, 0.9068
107.2632, 0.9068
107.8588, 0.9068
108.4543, 0.9068
109.0498, 0.9068
109.6453, 0.9068
110.2408, 0.9068
110.8363, 0.9068
111.4318, 0.9068
112.0273, 0.9068
112.6228, 0.9068
113.2184, 0.9068
113.8139, 0.9068
114.4094, 0.9068
115.0049, 0.9068
115.6009, 0.9045
116.1964, 0.9045
116.7919, 0.9045
117.3874, 0.9045
117.983, 0.9045
118.5785, 0.9045
119.174, 0.9045
119.7695, 0.9045
120.365, 0.9045
120.9605, 0.9045
121.556, 0.9045
122.1515, 0.9045
122.7471, 0.9045
123.3426, 0.9045
123.9381, 0.9045
124.5336, 0.9045
125.1291, 0.9045
125.7246, 0.9045
126.3201, 0.9045
126.9156, 0.9044
127.5111, 0.9044
128.1067, 0.9044
128.7027, 0.9021
129.2982, 0.9021
129.8937, 0.9021
130.4892, 0.9021
131.0847, 0.9021
131.6802, 0.9021
132.2757, 0.9021
132.8713, 0.9021
133.4668, 0.9021
134.0623, 0.9021
134.6578, 0.9021
135.2533, 0.9021
135.8488, 0.9021
136.4443, 0.9021
137.0398, 0.9021
137.6353, 0.9021
138.2309, 0.9021
138.8264, 0.9021
139.4219, 0.9021
140.0174, 0.9021
140.6129, 0.9021
141.2084, 0.9021
141.8044, 0.8998
142.4, 0.8998
142.9955, 0.8998
143.591, 0.8998
144.1865, 0.8998
144.782, 0.8998
145.3775, 0.8998
145.973, 0.8998
146.5685, 0.8998
147.164, 0.8998
147.7596, 0.8998
148.3551, 0.8998
148.9506, 0.8998
149.5461, 0.8998
150.1416, 0.8998
150.7371, 0.8998
151.3326, 0.8998
151.9281, 0.8998
152.5236, 0.8998
153.1192, 0.8998
153.7147, 0.8998
154.3107, 0.8975
154.9062, 0.8975
155.5017, 0.8975
156.0972, 0.8975
156.6927, 0.8975
157.2882, 0.8975
157.8838, 0.8975
