experiment,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
FC,9.993444,0,0.006228023,0.9859399,1/6/2020 9:02:53 PM
FC,15.52808,0,0.004544728,0.985094,1/6/2020 9:04:14 PM
FC,20.45139,0,0.004254789,0.9853321,1/6/2020 9:05:13 PM
FC,25.53432,0,0.004088106,0.9855184,1/6/2020 9:06:15 PM
FC,30.48436,0,0.003962968,0.9856778,1/6/2020 9:07:15 PM
FC,35.55673,0,0.003856152,0.9857164,1/6/2020 9:08:18 PM
FC,40.5531,0,0.003773221,0.9857956,1/6/2020 9:09:18 PM
FC,45.61046,0,0.003705948,0.9858632,1/6/2020 9:10:18 PM
FC,50.5309,0,0.003645839,0.9858304,1/6/2020 9:11:18 PM
FC,56.65334,0,0.003579308,0.9860362,1/6/2020 9:12:31 PM
FC,60.57661,0,0.003538079,0.9857634,1/6/2020 9:13:19 PM
FC,65.54152,0,0.00348764,0.9860523,1/6/2020 9:14:18 PM
FC,70.62405,0,0.003436552,0.9862815,1/6/2020 9:15:19 PM
FC,75.47702,0,0.003388015,0.9864812,1/6/2020 9:16:17 PM
FC,80.52849,0,0.00333643,0.9863262,1/6/2020 9:17:19 PM
FC,85.64301,0,0.003287379,0.9864079,1/6/2020 9:18:20 PM
FC,90.48668,0,0.00323717,0.9868449,1/6/2020 9:19:19 PM
FC,95.51427,0,0.003183516,0.9869152,1/6/2020 9:20:19 PM
FC,100.6399,0,0.003123268,0.9870998,1/6/2020 9:21:19 PM
FC,105.6259,0,0.003055714,0.9870499,1/6/2020 9:22:22 PM
FC,110.4999,0,0.002977551,0.9871156,1/6/2020 9:23:19 PM
FC,115.5145,0,0.002854548,0.9875531,1/6/2020 9:24:20 PM
FC,120.6355,0,0.00265651,0.9875041,1/6/2020 9:25:22 PM
FC,125.4697,0,0.002546915,0.9874939,1/6/2020 9:26:14 PM
FC,130.5779,0,0.002496071,0.9877124,1/6/2020 9:27:17 PM
FC,135.5832,0,0.002457987,0.9878691,1/6/2020 9:28:16 PM
FC,140.5775,0,0.002422242,0.9878768,1/6/2020 9:29:15 PM
